"Data Broker Name","Email Address","Website URL","Physical Address","How a consumer may opt out of sale or submit requests under the CCPA","How a protected individual can demand deletion of information posted online under Gov. Code sections 6208.1(b) or 6254.21(c)(1)","Additional information about data collecting practices","Date Added"
"Allant Group, LLC","privacy [at] allantgroup.com","http://www.allantgroup.com/","2655 Warrenville Rd, Suite 200, Downers Grover, IL 60515, United States","Notify Allant Group, LLC using instructions in Privacy Policy at www.allantgroup.com, emailing privacy@allantgroup.com, or by calling (800) 367-7311.","Notify Allant Group, LLC using instructions in Privacy Policy at www.allantgroup.com, emailing privacy@allantgroup.com, or by calling (800) 367-7311.","Allant does not collect consumer data directly. When we use third party data we adhere to the terms and conditions defined by those parties.","01/29/2020"
"Exponential Interactive, Inc. doing business as VDX.tv","privacy [at] VDX.tv","http://vdx.tv","2340 Powell Street, #378, Emeryville, CA 94608, United States","7.	CONTACT INFORMATION, , Please contact us with any questions or concerns about this Policy using the information below:, , United States Address, Exponential Interactive, Inc. doing business as VDX.tv, Attn: Legal Department, 5858 Horton Street, Suite 300, Emeryville, CA 94608, , United Kingdom Address, Exponential Interactive, Inc., Attn: Data Privacy Officer, 30 Stamford Street, London, SE19LQ, , Email , privacy@vdx.tv, , Phone, (510) 250-5500, , To protect the security of your information, we will take steps as we deem necessary to confirm your identity before completing your request or sharing any personal information with you., ","7.	CONTACT INFORMATION, , Please contact us with any questions or concerns about this Policy using the information below:, , United States Address, Exponential Interactive, Inc. doing business as VDX.tv, Attn: Legal Department, 5858 Horton Street, Suite 300, Emeryville, CA 94608, , United Kingdom Address, Exponential Interactive, Inc., Attn: Data Privacy Officer, 30 Stamford Street, London, SE19LQ, , Email , privacy@vdx.tv, , Phone, (510) 250-5500, , To protect the security of your information, we will take steps as we deem necessary to confirm your identity before completing your request or sharing any personal information with you., ","N/A.","01/29/2020"
"The Alesco Group LLC","michael [at] alescodata.com","http://Alescodata.com","5276 Summerlin Commons Way, 703, Fort Myers, FL 33907, United States","MyDataPrivacy.com","MyDataPrivacy.com","","01/30/2020"
"Response Solutions Group LLC","michael [at] alescodata.com","http://responsesoulutionsllc.com","5276 Summerlin Commons Way, 703, Fort Myers, FL 33907, United States","MyDataPrivacy.com","MyDataPrivacy.com","","01/30/2020"
"Stat Resource Group LLC DBA Statlistics","michael [at] alescodata.com","http://statlistics.com","5276 Summerlin Commons Way, 703, Fort Myers, FL 33907, United States","MyDataPrivacy.com","MyDataPrivacy.com","","01/30/2020"
"ZoomInfo","privacy [at] zoominfo.com","http://www.zoominfo.com","805 Broadway, #900, Vancouver, WA 98660, United States","Consumers may manage their data management preferences through our comprehensive privacy center: , https://www.zoominfo.com/about-zoominfo/privacy-center","Consumers may manage their data management preferences through our comprehensive privacy center: , https://www.zoominfo.com/about-zoominfo/privacy-center","Our data collection and management practices can be located here: , https://www.zoominfo.com/business/about-zoominfo/privacy-policy","01/29/2020"
"Blue Hill Marketing Solutions, inc","emailprivacy [at] liftbasedata.com","http://www.liftengine.com","LiftEngine-1 Blue Hill Plaza, PO Box 1674, Pearl River, NY 10965, United States","Complete a form at https://www.liftbasedata.com/request-to-know/","https://www.liftbasedata.com/request-to-know/","","01/22/2020"
"Spy Dialer, Inc. dba SpyDialer.com","info [at] spydialer.com","https://www.spydialer.com","32605 Temecula Pkwy, Suite 216, Temecula, CA 92592, United States","Go to spydialer.com, then click the link ""Do Not Sell My Info"".","Go to spydialer.com, then click the link ""Remove My Info"".","SpyDialer.com collects public data and uses it to provide the public free reverse phone lookups.  The data helps site users to protect their privacy by allowing them to check the identity of callers making unwanted, missed or harassing phone calls. The site also allows anyone who wants to remove their personal data to do so -- no questions asked. ","01/16/2020"
"First Orion, Inc. ","cdenton [at] firstorion.com","http://www.firstorion.com","500 President Clinton Ave, Ste. 215, Little Rock, AR 72201, United States","First Orion provides a website where a consumer can exercise their rights to Access, Delete & Opt-Out for our Call Knowledge products at privacy.firstorion.com.  The website can also be found on our company website in the footer at the link ‘Do Not Sell My Personal Information’. If the consumer does not have access to a computer or email address, then they can opt-out via postal mail at First Orion Compliance Department, ATTN: Opt-Out, 500 President Clinton Avenue, Ste. 215, Little Rock, AR 72201 or by calling the following toll free number 1.877.640.4220., ","First Orion does not post any consumer information online. ","First Orion’s products and services include various features and functionality to tell you who is calling and why, identify and block businesses who are likely scammers, do reverse telephone number lookups, file complaints, report call violations to the proper authorities, and provide enhanced information that can be displayed on your device. Some of these services are provided through our telecommunications carrier clients, while others are delivered directly to the consumer via our apps.  In addition, our Call Knowledge Suite helps companies verify who that phone number belongs to, what type of device it is, and whether a number is in service. To learn more visit our US Privacy Policy at https://firstorion.com/privacy-policy/. , ","01/30/2020"
"Infutor Data Solutions LLC","infutorvendorinfo [at] infutor.com","https://infutor.com/","One Lincoln Center, 18W140 Butterfield Rd. Ste 1020, Oakbrook Terrace, IL 60181, United States","Consumers should go to https://privacy.infutor.com/ to submit CCPA requests. Consumers may also call (866) 207-1399 or email compliance@infutor.com","Consumers should go to https://privacy.infutor.com/ to submit CCPA requests. Consumers may also call (866) 207-1399 or email compliance@infutor.com","","01/21/2020"
