"Company Name","Privacy Policy","Data Broker Email",Location,"Data Broker Allows Opt-Out?"
1-800-US-Search,https://peopleconnect.us/privacy-policy,privacy@peopleconnect.us,Washington,"Yes - by Opt-Out Form"
411.com,https://www.411.com/data-policy,support@whitepages.com,Washington,Unclear
Accucom,,,Massachusetts,No
"Accudata Integrated Marketing, Inc.",http://www.accudata.com/terms-use-privacy-policy/,marketing@accudata.com,Florida,Unclear
"Active Intel Investigations Llc",,,Texas,No
"Acxiom Llc",https://acxiom.com/about-us/privacy,privacy@acxiom.com,Arizona,"Yes - by Opt-Out Form"
"Address Search",http://www.addresssearch.com/privacy-policy.php,,,"Yes - by Opt-Out Form"
Addresses.Com,http://www.peopleconnect.us/privacy,,Washington,No
"Advanced Background Checks","http://www.advancedbackgroundchecks.com/privacy ; https://www.advancedbackgroun…",,California,Unclear
"Advantage Credit, Inc.",https://www.advcredit.com/privacy-policy/,info@advcredit.com,Colorado,"Yes - by email"
"Advantage Sales & Marketing Llc",https://www.advantagesolutions.net/pages/privacy,alex@take5mg.com,California,Unclear
"Advertise4Sales Llc",,tapster@gmail.com,Washington,Unclear
"Alc, Inc.",https://www.alc.com/privacy-policy/,sherry.booles@alc.com,"New Jersey",Unclear
"All Web Leads Inc",http://www.allwebleads.com/privacy,onlineops@allwebleads.com,Texas,Unclear
Allareacodes.Com,http://www.allareacodes.com/policies.htm,press@allareacodes.com,Missouri,"Yes - by Opt-Out Form"
"Altisource Holdings, Llc",https://altisource.com/Privacy-Notice,Britt.Gottlieb@altisource.com,Georgia,No
"Amrent, Inc.",https://www.amrent.com/privacy_policy.html,Legal@CBC-Companies.com,Ohio,No
"Analyticsiq, Inc.",https://analytics-iq.com/privacy-policy/,gailm@analytics-iq.com,Georgia,"Yes - by email"
Archives,https://www.ancestry.com/cs/legal/privacystatement?hideHeader=1,dpo@ancestry.com,California,"Yes - by email"
"Asl Marketing Inc",http://aslmarketing.com/privacy-policy/,info@aslmarketing.com,"New York",No
"Assurance Iq,Inc.",https://assurance.com/privacy-policy,swenson@assurance.com,Washington,"Yes - by email"
"Automation Research, Inc. D/B/A Dataverify",https://www.dataverify.com/content/privacy.htm,Sue.Temple@CBC-Companies.com,Ohio,No
"Avrick Direct, Inc.",http://avrickdirect.com/?page_id=16,avrickdirect@avrick.com,Washington,"Yes - by email"
"Background Check International (Bci)",,kit@bcint.com,,No
Background-Check-Only.Com,http://www.background-check-only.com/privacy-policy.htm,,,No
"Background Information Services, Inc. (Bis)",http://www.bisi.com/contact.php,compliance@bisi.com,Colorado,No
"Backgroundchecks.Com Llc",https://www.backgroundchecks.com/privacypolicy,cklafehn@backgroundchecks.com,Texas,Unclear
"Bcs Background Screening, Llc",http://www.background-checks-systems.com/privacy_policy.htm,,Florida,No
"Beenverified, Inc. And Its Subsidiaries/Affiliates",https://www.beenverified.com/faq/privacy/,support@beenverified.com,"New York","Yes - by email"
"Belardi Ostroy Alc Llc/ Belardi Wong",https://www.belardiwong.com/privacypolicy,sherry.booles@alc.com,"New York",Unclear
"Black Knight Data & Analytics, Llc",https://www.blackknightinc.com/privacy-notice/,corporatecompliance@bkfs.com,"New York",No
"Blackbaud, Inc.",https://www.blackbaud.com/company/privacy-policy/north-america,cameron.stoll@blackbaud.com,"South Carolina","Yes - by Opt-Out Form"
Blockshopper,https://blockshopper.com/privacy-policy,,Missouri,Unclear
"Bridgevine Inc.",https://www.bridgevine.com/privacy-policy/,dwayne.landry@bridgevine.com,Georgia,No
"Business Profiles",http://businessprofiles.com/privacy,,Oklahoma,Unclear
"Cbcinnovis, Inc.",https://www.cbcinnovis.com/privacy.html,cbcservices@cbcinnovis.com,Ohio,No
"Cdk Global, Llc",https://www.cdkglobal.com/us/privacy-policy,james.kinzer@cdk.com,Illinois,No
"Cell Phone Registry",http://cellphoneregistry.com/index.php?xpath=privacy,,,"Yes - by Opt-Out Form"
"Census Info Us",http://www.census-info.us/privacy,,,No
"Cic Mortgage Credit Inc.",https://www.ciccredit.com/information-security-policy-and-guideline/,CTHOMAS@CICCREDIT.COM,Tennessee,No
"Civis Analytics, Inc.",https://www.civisanalytics.com/privacy_policy/,compliance@civisanalytics.com,Illinois,Unclear
"Clarity Services, Inc.",https://www.clarityservices.com/privacy-principles/,clarityconsumers@experian.com,Florida,Unclear
"Compact Information Systems",http://www.compactlists.com/privacy-policy.html,pei@compactlists.com,Washington,Unclear
Confi-Chek,,customercare@peoplefinders.com,California,No
"Contemporary Information Corp.",https://www.cicreports.com/consumer-assistance/#privacypolicy,compliance@cicreports.com,California,Unclear
"Corelogic Background Data, Llc.",https://www.corelogic.com/privacy.aspx,dghazaleh@corelogic.com,Texas,No
"Corelogic Credco, Llc",https://www.corelogic.com/privacy.aspx,dghazaleh@corelogic.com,California,"Yes - by email"
"Corelogic Credco Of Puerto Rico",https://www.corelogic.com/privacy.aspx,dghazaleh@corelogic.com,,
"Corelogic Screening Services, Llc",https://www.corelogic.com/privacy.aspx,dghazaleh@corelogic.com,Texas,No
"Corelogic Solutions, Llc",https://www.corelogic.com/privacy.aspx,dghazaleh@corelogic.com,California,Unclear
"Corporation Wiki",http://www.corporationwiki.com/privacy-policy,,Florida,Unclear
"Cortera, Inc.",https://www.cortera.com/privacy-policy,privacy@cortera.com,Florida,No
"Court Records",http://www.courtrecords.org/index.php?xpath=privacy,privacy@cisnationwide.com,Massachusetts,"Yes - by Opt-Out Form"
"Court Registry",http://courtregistry.org/index.php?xpath=privacy,privacy@cisnationwide.com,,"Yes - by Opt-Out Form"
"Criminal Background Records",http://www.criminalbackgroundrecords.com/privacy.html,privacy@criminalbackgroundchecks.com,Massachusetts,No
"Criminal Pages",http://www.criminalpages.com/privacy/,,Washington,"Yes - by Opt-Out Form"
"Criminal Screen",http://www.criminalscreen.com/privacy.cfm,Webmaster@CriminalScreen.com,Florida,No
"Criminal Watch Dog",https://www.criminalwatchdog.com/Privacy-Policy.aspx,,Massachusetts,No
Cupidscreen,https://cupidscreen.com/privacy-policy/,info@onlineinvestigations.com.au,,No
"Data Facts, Inc.",https://www.datafacts.com/company-information-privacy-policy,johnna@datafacts.com,Tennessee,Unclear
"Data Facts, Inc.",https://www.datafacts.com/company-information-privacy-policy,johnna@datafacts.com,Tennessee,Unclear
Dataamerican.Com,http://www.dataamerica.com/pages/privacy-policy/,info@dataamerica.com,"New York",No
"Databaseusa.Com Llc",https://databaseusa.com/index.php/privacy-policy/,consult@databaseusa.com,Nebraska,"Yes - by email"
"Datamentors Llc Dba V12",https://v12data.com/v12-privacy-point-of-view/,pkuman@v12data.com,Florida,Unclear
"Datamyx Llc Dba Deluxe Marketing Solutions",https://fi.deluxe.com/datamyx-privacy/,privacyprogramoffice@deluxe.com,Florida,Unclear
