Data Broker Name:,Registration ID:,Status:,Business Type:,Created Date:,Next Renewal Period Begins:,Termination Date:,Address:,Email Address:,Primary Internet Address:,"3. Does the data broker permit a consumer to opt out of the data broker’s collection of brokered personal information, opt out ofits databases or opt out of certain sales of data? :",a. What was the method for requesting an opt-out?,"b. If the opt-out applied to only certain activities or sales, which ones?",c. Does the data broker permit a consumer to authorize a third party to perform the opt-out on the consumer’s behalf?,"4. Statement specifying the data collection, databases or sales activities from which a consumer may not opt out:",5. Statement regarding whether the data broker implements a purchaser credentialing process:,6. The number of security breaches that the data broker experienced during the prior year:,  a. Total number of consumers affected by the breaches:,7. Does the data broker have actual knowledge that it possesses the brokered personal information of minors:,"If so, provide a statement detailing the data collection practices, databases, sales activities, and opt-out policies that are applicable to the brokered personal information of minors:",8. Any additional information or explanation the data broker chooses to provide concerning its data collection practices:
"ACCUDATA INTEGRATED MARKETING, INC.",353027,ACTIVE,Data Broker,2/5/2019,1/1/2021,2/1/2021,"5220 Summerlin Commons Blvd., Ste 200, Ft. Myers, FL, 33907, USA",privacy.compliance@accudata.com,www.accudata.com,Yes,Consumers need to submit a request thru the 'Do Not Sell My Information' link on www.accudata.com.    Consumers are encouraged to contact www.dmachoice.org and our contracted partners directly to ensure the names are properly removed.,n/a,No.  Requests must come directly from the consumer that wishes to have their information opted-out.,AccuData makes no restrictions for consumers that wish to opt-out.,AccuData is contractually obligated to credential customers who contact us to license consumer data.,0,0,Yes,AccuData does not actively collect consumer data nor do we market consumer products and services to minors.  Our third-party providers are responsible for restricting the collection and distribution of information about minors.,none indicated.
ACXIOM LLC,352752,ACTIVE,Data Broker,1/30/2019,1/1/2021,2/1/2021,"301 East Dave Ward Drive, Conway, AR, 72032 - 7114, USA",jordon.abbott@acxiom.com,www.acxiom.com,Yes,Consumers may opt out of Acxiom's marketing data products through our automated opt-outtool located on www.acxiom.com/optout.,A consumer may opt out of Acxiom's consumer marketing data for offline and online marketingproducts.,"Acxiom’s Online Opt-Out Request Process is intended only for individual consumer use. Third Party Opt-Out services are prohibited from using this process except where allowed by applicable law. However, Acxiom will accept opt-outs on a limited basis on behalf of public officials or law enforcement officers and their families.","While Acxiom does not accept opt out requests for Acxiom's fraud detection and prevention products, Acxiom does accept requests for access to information contained within such products.",Acxiom conducts client credentialing to verify a prospective customer as a legitimate business that is qualified to license Acxiom products and services.,0,0,Yes,"Acxiom will not knowingly disclose identifiable data on minors under 18 to third parties for use in marketing. We do use data such minor data to identify/remove records from our and our clients’ marketing files. We use such minor data in creating insights solely related to the minor's adult parent, but we don’t disclose identifiable data about the minor in the insights created. Where permitted by law, we use and disclose minor data for non-marketing uses(e.g, fraud detection/prevention products)",Acxiom maintains quality control procedures to ensure the information we compile and process is as accurate and complete as possible. Acxiom conducts an in-depth source review of all data suppliers to ensure that the information licensed by Acxiom has been collected legally and in compliance with the applicable data collection privacy policies that govern the collection of the data.
"BLACK KNIGHT DATA & ANALYTICS, LLC",352751,ACTIVE,Data Broker,1/30/2019,1/1/2021,2/1/2021,"601 Riverside Avenue, Jacksonville, FL, 32204, USA",corporatecompliance@bkfs.com,www.blackknightinc.com,No,,,,D&A collects Vermont public records from a third party.,No,0,0,Yes,D&A does not knowingly collect any personal information of minors.,None listed.
ASL MARKETING INC,353280,ACTIVE,Data Broker,2/11/2019,1/1/2021,2/1/2021,"500 Bi County Blvd, Suite 460, Farmingdale, NY, 11735, USA",info@aslmarketing.com,aslmarketing.com,Yes,"There is a link on the website ""by clicking here"" that brings you to an opt out form.  You can also send a written request to our offices.  It is all detailed on the company website.","It is all inclusive for opt out purposes, nothing is restricted","Yes, we do not ask for verification or proof of identity.",Consumers may opt out of all activities.,"If we do share personal information with a non affiliated company, to the extent practical, we require that they protect such information in a manner that is consistent with our opt out policy.  (See attachment)",0,0,Yes,"We will not knowingly accept personal information from anyone under 13 years old in violation of applicable laws.  If a parent believes their child under 13 gained access to our site without their permission, there is a link to contact us.  We do not market products or services for purchase by children.",See attached.
"ANALYTICSIQ, INC.",353086,ACTIVE,Data Broker,2/6/2019,1/1/2021,2/1/2021,"115 Perimeter Center Place, Suite 635, Atlanta, GA, 30346, USA",gailm@analytics-iq.com,www.analytics-iq.com,Yes,"To be removed from our marketing database, consumer is asked to send their full name and street address to opt-out@analytics-iq.com",Consumer can opt out of our marketing data base and/or any potential marketing communications from AnalyticsIQ.,No.,Any consumer may choose to permanently remove themselves from our marketing database.  Any entity/individual can opt out of any potential marketing communications.  The information on any consumer who opts out of our data base will not be proved to any reseller or end user who purchases our data.,AnalyticsIQ screens potential purchasers of our marketing database to prevent doing business with purchasers wo might have illegal or unethical intentions for data.,0,0,No,,none indicated.
"AVRICK DIRECT, INC.",353085,ACTIVE,Data Broker,2/6/2019,1/1/2021,2/1/2021,"7120 185th Ave NE, PO Box 140, Redmond, WA, 98052, USA",avrickdirect@avrick.com,www.avrickdirect.com,Yes,Email:   privacy.compliance@avrickdirect.comOnline:  http://privacy.avrickdirect.com/request/opt-out,no answer given,yes,none,none,0,0,No,,none indicated
KBM GROUP LLC,352336,EXPIRED,Data Broker,1/22/2019,1/1/2020,2/1/2020,"2050 Dogwood Street, Suite 220, Louisville, CO, 80027, USA",privacy@wundermandata.com,www.kbmg.com,Yes,"There are several methods by which a consumer may opt out.  In addition to exercising user choice by opting out online, (for web based opt outs, users can go to our privacy policy, (http://www.kbmg.com/about-us/privacy/) users are also able to contact us via email, (privacy@wundermandata.com), phone or in writing (KBM Group dba Wunderman Data Products, 2051 Dogwood Street, Suite 220, Louisville CO 80027). In addition, KBMG is a member of the self regulatory groups, the Digital Advertising Allian","The opt out applies to future use of the data for interest based advertising and retargeting.  We will also accept opt outs for direct mail, and email marketing by suppressing the data file so that it will no longer be used in our modeling or services.",We permit a consumer to authorize a third party to perform the opt out on the consumer's behalf only where the consumer or third party has supplied a signed affidavit giving the third party authority to request an opt out on the consumer's behalf.,N/A Consumers have the ability to opt out of our database and future use of their data for marketing purposes.,Some processes and procedures in place include review of the database and future use of their data for marketing purposes.,0,0,Yes,We do not process or possess the brokered personal information of minors.,"KBM Group (d/b/a Wunderman Data Products) is a member of several self-regulatory groups for the online advertising industry that set forth codes of conduct and standards with regard to data collection and use for online advertising purposes.  By engaging in membership with these groups, KBMG is voluntarily holding themselves to the requirements set forth by the respective codes and regulations. Our participation includes, the Data & Marketing Association (DMA) The Digital Advertising Alliance (D"
"FOREWARN, LLC",352746,EXPIRED,Data Broker,1/30/2019,1/1/2020,2/1/2020,"2650 N. Military Trail, Suite 300, Boca Raton, FL, 33431, USA",support@forewarn.com,www.forewarn.com,Yes,See attached,See attached,See attached,See attached,See attached,0,0,Yes,See attached,See attached
"INTERACTIVE DATA, LLC",352748,EXPIRED,Data Broker,1/30/2019,1/1/2020,2/1/2020,"2650 N. Military Trail, Suite 300, Boca Raton, FL, 33431, USA",support@ididata.com,www.ididata.com,Yes,See attached,See attached,See attached,See attached,See attached,0,0,Yes,See attached,See attached
"DATASTREAM GROUP, INC.",353367,EXPIRED,Data Broker,2/12/2019,1/1/2020,2/1/2020,"1085 Business Lane, Naples, FL, 34110, USA",er@datastreamgroup.com,www.datastreamgroup.com,Yes,See attached.,See attached.,See attached.,See attached.,See attached.,0,0,Yes,See attached.,See attached.
